hour,member_casual,num_rides
0,casual,22430
0,member,12100
1,casual,13979
1,member,6796
2,casual,7686
2,member,3661
3,casual,4114
3,member,2319
4,casual,3434
4,member,3574
5,casual,5400
5,member,17244
6,casual,12864
6,member,56244
7,casual,23101
7,member,94422
8,casual,31710
8,member,102599
9,casual,40708
9,member,86997
10,casual,58289
10,member,92457
11,casual,80432
11,member,115845
12,casual,97999
12,member,136178
13,casual,106561
13,member,135697
14,casual,113327
14,member,135849
15,casual,119440
15,member,150640
16,casual,126388
16,member,179952
17,casual,139725
17,member,215323
18,casual,125940
18,member,186883
19,casual,96204
19,member,130136
20,casual,67605
20,member,79977
21,casual,48808
21,member,47913
22,casual,43689
22,member,33737
23,casual,35108
23,member,23000
